 Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	    spec. type     	typ
1.3	2.2	2.32	2.36	2.49	B0.3IV             	SB*
1.55	2.56	2.81	2.93	3.18	B0.2V              	*  
1.68	2.55	2.62	2.6	2.69	B1V                	SB*
1.68	2.55	2.62	2.6	2.69	B1V                	SB*
1.82	2.71	2.91	3	3.2	B1V+B2:V:          	bL*
1.82	2.71	2.91	3	3.2	B1V+B2:V:          	bL*
2.32	3.02	2.89	1.69	1.58	O9.5(V)+B7(V)      	bC*
2.32	3.02	2.89	1.69	1.58	O9.5(V)+B7(V)      	bC*
2.84	3.66	3.86	3.97	4.17	B2IV-V             	SB*
2.84	3.66	3.86	3.97	4.17	B2IV-V             	SB*
3.1	3.92	3.97	3.91	3.99	B1V                	bC*
3.1	3.92	3.97	3.91	3.99	B1V                	bC*
3.42	4.05	4	3.9	3.87	B2V                	SB*
3.42	4.05	4	3.9	3.87	B2V                	SB*
3.66	4.421	4.567	99	99	B2V                	SB*
3.66	4.421	4.567	99	99	B2V                	SB*
3.84	4.566	4.638	99	99	B1.5Vn             	*  
3.84	4.566	4.638	99	99	B1.5Vn             	*  
3.86	4.52	4.59	99	99	B2.5Vn             	** 
3.86	4.52	4.59	99	99	B2.5Vn             	** 
3.95	4.71	4.43	3.97	3.73	B2Vne              	Be*
3.95	4.71	4.43	3.97	3.73	B2Vne              	Be*
4.08	2.75	0.91	-0.64	-1.87	M0.5Iab+B3V:       	** 
4.19	4.87	4.89	5.58	99	B2V                	SB*
4.3	4.85	4.63	4.27	3.96	B2IV+B2V           	** 
4.3	5.27	5.05	99	99	B2/3V              	*i*
4.61	4.77	4.87	4.91	4.96	B8Ia/Iab           	Be*
4.7	5.34	5.43	99	99	B5V                	Ro*
4.7	5.34	5.43	99	99	B5V                	Ro*
4.77	5.36	5.4	99	99	B2V                	Be*
4.77	5.36	5.4	99	99	B2V                	Be*
4.95	5.358	5.376	99	99	B5V                	SB*
5.23	5.81	5.87	99	99	B8III/IV           	Ro*
5.29	5.84	5.92	99	99	B8V                	** 
5.29	5.84	5.92	99	99	B8V                	** 
5.59	5.9	5.88	99	99	B9V                	V* 
5.73	6.09	6.05	99	99	B8V                	*  
5.74	6.27	6.33	99	99	B8IV/V             	*  
5.74	6.27	6.33	99	99	B8IV/V             	*  
5.76	6.174	6.19	99	99	B9IV               	SB*
6.06	6.43	6.3	99	99	B8/9V              	** 
6.71	7.05	6.74	99	99	B3/4V              	** 
6.71	7.05	6.74	99	99	B3/4V              	** 
7.04	7.21	7.04	99	99	B5/8Vn             	Be*
7.24	7.59	7.27	99	99	B9V                	*  
7.24	7.59	7.27	99	99	B5V                	*  
7.6	7.69	7.55	99	99	B9V                	V* 
8.08	7.99	7.81	99	99	A2V                	TT*
8.28	8.51	8.26	99	8.96	B9.5V              	*  
9.66	9.74	9.2	99	99	B5III              	*  
9.66	9.74	9.2	99	99	B5III              	*  
9.69	9.32	8.79	8.41	99	B9.5Ve             	Be*
10.39	10.2	9.42	99	99	B8II               	*  
10.42	10.02	9.36	99	99	A1III/IV           	dS*
11.6	12.4	11.1	12.3	99	Oev                	LXB
99	5.851	5.841	99	99	B3V                	Ce*
99	5.851	5.841	99	99	B3V                	Ce*
99	5.93	5.957	99	99	B2/3V              	*  
99	5.93	5.957	99	99	B2/3V              	*  
99	6.07	6.1	99	99	B7V                	*  
99	6.415	6.414	99	99	B9V                	*  
99	6.428	6.42	6.4	99	B6IV               	a2*
99	6.428	6.42	6.4	99	B6IV               	a2*
99	6.616	6.607	99	99	B9V                	*  
99	6.901	6.867	99	99	B9V                	SB*
99	6.92	6.94	99	99	B9.5V(n)           	PM*
99	6.967	6.746	99	99	B9.5IV             	*  
99	6.99	7.02	99	99	A0V                	*  
99	7.05	7.06	99	99	A0V                	*  
99	7.26	7.23	99	99	B9V                	*  
99	7.27	7.19	7.87	99	B9V                	*  
99	7.322	7.288	99	99	A1V(n)             	PM*
99	7.37	7.3	99	99	A0V                	*  
99	7.4	7.33	99	99	B9.5V              	*  
99	7.56	7.4	99	99	B9II/III           	a2*
99	7.6	7.48	99	99	A3V                	*  
99	7.67	7.63	99	99	B9V                	*  
99	7.7	7.64	99	99	B9V                	*  
99	7.73	7.6	99	99	B9V                	*  
99	7.77	7.64	99	99	B9V                	*  
99	7.91	7.77	99	99	B9V                	*  
99	7.91	7.81	99	99	B9V                	*  
99	7.92	7.74	99	99	A0V                	*  
99	7.93	7.79	99	99	A1III/IV           	*  
99	7.96	7.78	99	99	A0V                	*  
99	7.98	7.78	99	99	A0V                	*  
99	8	7.79	99	99	A3III/IV           	*  
99	8.06	7.9	99	99	B9.5V              	*  
99	8.11	7.74	99	99	A2mA7-F2           	*  
99	8.12	7.94	99	99	B8V                	*  
99	8.22	7.97	99	99	A7IV               	*  
99	8.22	8.04	99	99	A0V                	*  
99	8.32	8.06	99	99	A0V                	*  
99	8.36	8.25	99	99	A0V                	*  
99	8.56	8.24	99	99	A3V                	*  
99	8.64	8.24	99	99	F5V                	** 
99	8.68	8.32	99	99	F0V                	*iA
99	8.69	8.3	99	99	B9V                	*  
99	8.71	8.45	99	99	A2IV               	*  
99	8.73	8.31	99	99	A9V                	*  
99	8.73	8.31	99	99	A9V                	*  
99	8.78	8.43	99	99	A4IV/V             	dS*
99	8.8	8.39	99	99	A5V                	*  
99	8.81	8.43	99	99	F2V                	*  
99	8.93	8.53	99	99	F3V                	*  
99	8.93	8.57	99	99	A7III/IV           	dS*
99	8.95	8.54	99	99	A9V                	*  
99	8.99	8.35	99	99	F4V                	pr*
99	8.99	8.63	99	99	A1V                	*  
99	9.04	8.59	99	99	A9V                	dS*
99	9.19	8.61	99	99	G0V                	*iA
99	9.2	8.91	99	99	A0V                	*iC
99	9.28	8.8	8.8	99	F3V                	*  
99	9.28	8.9	99	99	F3V                	** 
99	9.29	8.86	99	99	A8III/IV           	Al*
99	9.29	8.86	99	99	A8III/IV           	Al*
99	9.37	8.752	99	7.868	F7V                	Al*
99	9.37	8.752	99	7.868	F7V                	Al*
99	9.37	8.91	99	99	F5V                	*  
99	9.37	8.91	99	99	F5V                	*  
99	9.39	8.98	99	99	F0V                	*  
99	9.39	8.98	99	99	F0V                	*  
99	9.42	8.97	99	99	F0V                	*  
99	9.42	9.03	99	99	A9V                	dS*
99	9.5	9.06	99	99	F2/3V              	*  
99	9.5	9.06	99	99	F2/3V              	*  
99	9.55	9.04	99	99	F3V                	*  
99	9.55	9.1	99	99	F2/3IV/V           	*  
99	9.58	9.11	99	99	F2/3V              	*  
99	9.58	9.11	99	99	F2/3V              	*  
99	9.62	9.12	99	99	A1mA9-F2           	*  
99	9.62	9.16	99	99	F0V                	gD*
99	9.62	9.16	99	99	F0V                	gD*
99	9.63	9	99	99	K1(IV)+(F)         	*  
99	9.63	9.122	99	8.425	G1V                	Ro*
99	9.63	9.17	99	99	F3V                	*  
99	9.68	8.96	99	8.092	G3V                	TT*
99	9.7	9.24	99	99	A2/3V              	*  
99	9.72	9.29	99	99	F3V                	pr*
99	9.72	9.29	99	99	F3V                	pr*
99	9.81	9.36	99	99	F0V                	*  
99	9.92	9.19	99	99	F6V                	*  
99	9.94	9.271	99	8.502	G3IV               	Ro*
99	9.94	9.271	99	8.502	G3IV               	Ro*
99	9.99	9.284	99	8.36	F8V                	Ro*
99	10.01	9.48	99	99	F2V                	*  
99	10.04	9.36	99	99	G2V                	*  
99	10.26	9.453	99	8.594	G2IV               	Ro*
99	10.28	9.74	9.4	99	G0/2               	*  
99	10.32	9.58	99	99	G2/3V              	*  
99	10.47	9.685	99	8.58	G7IV(e)            	Ro*
99	10.69	9.81	99	99	G9IVe              	TT*
99	10.75	9.94	99	99	G9IVe              	pr*
99	10.75	9.94	99	99	G9IVe              	pr*
99	10.78	10.25	99	99	A5II               	*  
99	10.84	10.148	99	9.281	G6V                	Ro*
99	10.91	10.14	99	99	F8/G1              	*  
99	10.92	10.14	99	99	G8e                	TT*
99	10.96	10.143	99	9.13	G7V                	TT*
99	10.96	10.143	99	9.13	G7V                	TT*
99	10.98	10.32	99	99	F5V                	*  
99	10.99	10.08	99	99	F8.0e              	Y*O
99	11.05	10.23	99	99	G3/6               	*  
99	11.07	10.5	99	99	G0                 	pr*
99	11.1	10.46	99	9.505	G8IV(e)            	Ro*
99	11.16	10.36	9.9	99	G9V                	pr*
99	11.16	10.36	9.9	99	G9V                	pr*
99	11.16	10.38	99	9.265	G9V(e)             	TT*
99	11.26	10.5	99	99	G8V                	pr*
99	11.31	10.4	99	99	G8V                	pr*
99	11.4	10.49	99	99	K1.5e              	Y*O
99	11.42	10.685	99	9.525	G9IV               	TT*
99	11.43	10.432	99	9.105	K1IV(e)            	Ro*
99	11.56	10.78	99	9.861	G9IV               	Ro*
99	11.58	10.501	9.9	9.275	G9IV(e)            	TT*
99	11.78	11.116	99	9.727	K1IVe              	TT*
99	11.78	11.116	99	9.727	K1IVe              	TT*
99	11.87	10.895	99	9.797	K1V(e)             	TT*
99	11.9	9.3	99	99	K5+K5              	RS*
99	11.9	10.7	99	9.255	K2IV               	TT*
99	11.94	10.969	10.6	9.784	G9                 	Ro*
99	11.96	10.87	10.2	9.931	G9                 	pr*
99	11.96	10.87	10.2	9.931	G9                 	pr*
99	12.09	11.205	99	10.052	K0IV(e)            	TT*
99	12.1	13.5	11.2	99	K4.5e              	TT*
99	12.15	10.829	99	9.235	K0IV(e)            	TT*
99	12.15	11.255	10.8	10.13	K1V                	Ro*
99	12.19	11.59	99	99	K2.0e              	TT*
99	12.19	11.59	99	99	K2.0e              	TT*
99	12.2	99	10.5	99	G4                 	TT*
99	12.43	11.254	99	9.822	K3IVe              	BY*
99	12.5	11.66	10.8	10.231	K1                 	TT*
99	12.54	11.315	99	9.74	K2IVe              	BY*
99	12.6	11.35	99	99	99	*  
99	12.6	11.665	11.7	10.17	K7                 	TT*
99	12.6	11.813	99	10.265	K5                 	TT*
99	12.61	11.78	99	99	G8.5e              	Y*O
99	12.7	11.952	99	10.29	K5                 	TT*
99	12.72	11.312	99	10.065	K1IV               	TT*
99	12.73	12.1	99	99	99	*  
99	12.8	12.214	99	10.631	M0                 	Ro*
99	12.85	11.8	99	99	99	*  
99	12.9	12.684	11.4	10.66	K5Ve+M0Ve          	Or*
99	12.91	11.647	99	10.101	K2IVe              	TT*
99	13.01	11.403	99	9.962	K2                 	Ro*
99	13.02	12.073	11.2	10.194	K2IV(e)            	TT*
99	13.02	13.44	99	99	K1IV               	BY*
99	13.04	12.51	99	99	G1-3V              	*  
99	13.1	99	11.6	99	K3                 	TT*
99	13.1	99	12.11	11.08	M1e                	TT*
99	13.1	99	12.11	11.08	M1e                	TT*
99	13.1	99	99	99	K4                 	TT*
99	13.1	99	99	99	M0                 	pr*
99	13.18	11.21	99	99	K4.0e              	Y*O
99	13.2	12.45	11.5	99	K5                 	BY*
99	13.2	99	11.7	99	K7                 	pr*
99	13.24	12.05	99	99	M0:Ve              	TT*
99	13.3	99	11.7	99	K5                 	pr*
99	13.3	99	11.8	99	K2                 	pr*
99	13.34	12.09	11.68	10.41	K5                 	TT*
99	13.4	12.373	11.6	10.627	K5                 	Ro*
99	13.4	12.487	11.7	10.503	K7                 	TT*
99	13.4	99	11.73	10.92	K5                 	TT*
99	13.4	99	11.8	99	M0                 	*  
99	13.4	99	99	99	K7                 	TT*
99	13.47	12.02	99	99	K7                 	TT*
99	13.47	12.23	12	10.94	K4                 	Y*O
99	13.5	11.978	11.55	10.26	K5V(e)             	TT*
99	13.5	99	99	99	M1                 	pr*
99	13.6	99	11.5	99	M5-6               	*  
